s_cont_stat_date,content_type,src,union_chann_id,today_ruku_cont_cnt
2020-01-08,图文,14,121,113428
2020-01-13,图文,22,100,1470
2020-01-14,图文,14,140,7550
2020-01-24,图文,14,\N,153430
2020-01-26,图文,14,133,76796
2019-12-05,图文,14,125,29690
2019-12-15,图文,14,116,43949
2019-12-29,图文,14,132,55224
2020-01-11,图文,14,114,37830
2020-01-11,图文,14,121,98112
2020-01-15,图文,14,111,90352
2020-02-05,图文,14,137,9725
2020-02-09,图文,14,126,78779
2020-02-05,图文,52,110,3924
2019-12-03,图文,14,\N,55562
2019-12-21,图文,14,114,44704
2019-12-28,图文,14,124,28287
2019-12-28,图文,14,140,7807
2020-01-12,图文,14,122,20021
2020-01-15,图文,14,123,22685
2020-01-21,图文,14,103,11501
2020-02-28,图文,52,104,4827
2020-01-14,图文,65,123,2957
2020-02-11,图文,14,103,7449
2020-02-20,图文,14,127,18373
2020-02-29,图文,14,116,43308
2020-03-01,图文,14,103,5549
2020-02-16,图文,14,111,55745
2020-02-17,图文,14,118,28939
2019-12-10,图文,14,114,64657
2019-12-14,图文,14,135,2507
2019-12-15,图文,14,132,60490
2019-12-16,图文,14,100,89535
2019-12-24,图文,14,124,60954
2019-12-28,图文,14,134,34567
2020-01-16,图文,14,123,21988
2020-01-23,图文,22,112,7109
2019-12-13,图文,14,122,39792
2019-12-18,图文,14,124,62856
2019-12-29,图文,14,124,28323
2020-01-07,图文,14,118,44250
2020-01-15,图文,14,124,51092
2020-02-08,图文,14,134,42504
2020-02-09,图文,14,137,9516
2019-12-05,图文,65,111,4700
2019-12-20,图文,14,\N,57691
2020-01-12,图文,14,141,23691
2020-01-15,图文,14,109,14271
2020-01-22,图文,14,110,17111
2020-01-28,图文,14,133,83878
2020-01-06,图文,52,103,1334
2020-02-19,图文,14,121,140974
2019-12-08,图文,14,121,109299
2019-12-26,图文,14,116,50882
2019-12-27,图文,14,137,11498
2020-01-07,图文,14,102,9989
2020-01-18,图文,14,\N,111413
2020-01-18,图文,14,101,25758
2020-01-21,图文,14,126,79957
2020-01-24,图文,14,126,91881
2020-02-21,图文,52,123,2592
2019-12-10,图文,14,101,33642
2019-12-14,图文,14,124,31710
2019-12-31,图文,14,129,3578
2020-01-02,图文,52,110,5635
2020-01-08,图文,26,\N,2333
2020-02-06,图文,22,100,1483
2020-02-25,图文,52,103,907
2020-02-14,图文,14,115,13781
2020-02-15,图文,14,123,18427
2019-12-21,图文,14,127,24218
2019-12-22,图文,14,102,10512
2020-01-05,图文,14,113,12971
2020-01-05,图文,22,121,1735
2020-01-10,图文,14,126,85898
2020-01-14,图文,22,112,6368
2020-01-16,图文,14,125,18651
2020-01-19,图文,52,108,2844
2020-01-30,图文,14,115,15814
2020-02-03,图文,14,103,6573
2020-02-04,图文,65,124,5444
2019-12-10,图文,14,116,56720
2019-12-14,图文,26,\N,1932
2019-12-17,图文,14,127,26661
2019-12-18,图文,14,127,25924
2019-12-26,图文,52,111,4155
2020-01-22,图文,14,111,64767
2020-01-22,图文,14,115,7443
2020-01-24,图文,14,104,24494
2019-12-11,图文,14,135,4039
2019-12-16,图文,52,\N,103276
2020-01-09,图文,14,126,86653
2020-01-24,图文,22,134,1111
2019-12-25,图文,14,118,47090
2020-01-19,图文,65,104,4182
2020-02-09,图文,14,125,8595
2020-01-30,图文,52,124,1032
2019-12-03,图文,14,138,4979
2019-12-05,图文,65,106,256
2019-12-11,图文,14,117,60345
2019-12-19,图文,14,100,86040
2020-01-14,图文,14,111,88806
2020-01-15,图文,14,141,24697
2020-01-18,图文,22,112,5121
2020-02-08,图文,14,116,36757
2020-02-10,图文,14,127,19060
2019-12-14,图文,14,111,50465
2019-12-15,图文,14,111,39015
2020-01-15,图文,52,109,1474
2020-01-31,图文,52,112,15166
2020-02-18,图文,14,125,14233
2020-02-21,图文,65,120,988
2019-12-27,图文,14,131,6545
2020-01-22,图文,14,104,34347
2020-02-02,图文,14,124,21604
2020-02-07,图文,14,131,4963
2019-12-03,图文,14,106,23697
2019-12-06,图文,14,128,16419
2019-12-06,图文,52,\N,110903
2019-12-30,图文,52,112,12680
2020-01-07,图文,22,121,2159
2020-01-10,图文,65,114,2648
2019-12-06,图文,22,118,905
2019-12-13,图文,14,130,24302
2019-12-14,图文,14,116,49833
2019-12-15,图文,14,119,20072
2019-12-16,图文,14,137,11163
2019-12-21,图文,50,117,32
2019-12-23,图文,14,111,89377
2020-01-23,图文,14,113,9016
2020-01-30,图文,52,121,2049
2019-12-05,图文,14,122,41288
2019-12-07,图文,14,141,27061
2019-12-23,图文,14,106,26859
2019-12-26,图文,14,104,38383
2020-01-15,图文,14,130,16889
2020-02-02,图文,14,118,21963
2020-02-05,图文,14,134,42497
2019-12-04,图文,14,141,16916
2020-01-16,图文,14,103,18076
2020-02-03,图文,14,116,36298
2020-02-04,图文,14,128,8642
2020-02-20,图文,52,110,4188
2020-01-02,图文,65,110,7485
2020-02-23,图文,14,123,17123
2020-02-25,图文,14,113,8276
2019-12-23,图文,14,124,61766
2019-12-28,图文,14,133,110285
2019-12-29,图文,14,117,46933
2020-01-09,图文,22,\N,2511
2020-02-02,图文,14,141,26175
2020-02-04,图文,14,110,20190
2019-12-07,图文,52,133,1611
2019-12-03,图文,52,111,3906
2019-12-06,图文,14,116,54341
2019-12-11,图文,65,113,1245
2020-01-18,图文,14,104,39215
2020-02-09,图文,14,\N,141713
2019-12-11,图文,14,141,26035
2019-12-29,图文,22,108,192
2020-01-09,图文,14,141,25680
2020-01-23,图文,14,104,30545
2020-02-01,图文,14,124,17285
2020-02-10,图文,14,104,37871
2020-02-21,图文,52,104,4239
2020-03-01,图文,14,117,29081
2020-02-29,图文,14,130,17531
2020-02-11,图文,22,104,689
2020-02-13,图文,14,107,9958
2020-02-22,图文,14,130,18853
2020-02-22,图文,14,118,30562
2020-02-18,图文,14,128,13745
2020-02-20,图文,14,117,27529
2020-02-26,图文,14,127,18120
2019-12-06,图文,14,118,49447
2019-12-29,图文,14,105,4063
2019-12-31,图文,22,121,2064
2020-01-08,图文,14,111,88757
2020-01-11,图文,14,129,2450
2020-02-08,图文,14,117,20879
2020-02-09,图文,14,103,7554
2020-02-19,图文,52,112,30875
2020-02-16,图文,52,124,1778
2020-02-12,图文,14,100,95466
2020-02-15,图文,14,102,10271
2020-02-15,图文,14,111,63020
2020-02-21,图文,14,118,30653
2020-02-23,图文,14,119,20836
2020-02-10,图文,14,110,21205
2020-02-24,图文,14,131,4459
2020-02-11,图文,14,113,8293
2019-12-12,图集,49,134,857
