f_date,input_date,s_input_date,week_of_year,input_week_day,puin,cnt
20191022,20191019,2019-10-19,42,6,1615989293,343
20191022,20190818,2019-08-18,33,7,1781807216,1057
20191022,20190828,2019-08-28,35,3,1686044523,500
20191022,20190906,2019-09-06,36,5,2158351255,630
20191022,20190924,2019-09-24,39,2,2976786729,678
20191022,20190817,2019-08-17,33,6,1781809788,1119
20191022,20190916,2019-09-16,38,1,1781806251,1274
20191022,20190919,2019-09-19,38,4,2931323584,391
20191022,20190822,2019-08-22,34,4,3617694639,500
20191022,20190823,2019-08-23,34,5,1663272562,498
20191022,20190919,2019-09-19,38,4,1656351064,487
20191022,20190908,2019-09-08,36,7,3507123484,332
20191022,20191010,2019-10-10,41,4,1921424720,500
20191022,20190908,2019-09-08,36,7,1833528556,16
20191022,20191016,2019-10-16,42,3,1001002030011,59
20191022,20190830,2019-08-30,35,5,1655241805,499
20191022,20191009,2019-10-09,41,3,1685943040,428
20191022,20191010,2019-10-10,41,4,1781810497,1224
20191022,20191013,2019-10-13,41,7,3357604587,420
20191022,20191012,2019-10-12,41,6,2606863014,500
20191022,20191016,2019-10-16,42,3,1686044523,500
20191022,20190930,2019-09-30,40,1,1659296564,500
20191022,20190909,2019-09-09,37,1,1683952717,597
20191022,20190915,2019-09-15,37,7,1781807945,949
20191022,20190918,2019-09-18,38,3,1781807461,1347
20191022,20190922,2019-09-22,38,7,3021573833,1203
20191022,20191014,2019-10-14,42,1,1140173450,347
20191022,20191016,2019-10-16,42,3,1781808143,1214
20191022,20191015,2019-10-15,42,2,2931323584,397
20191022,20191005,2019-10-05,40,6,1504400350,213
20191022,20190816,2019-08-16,33,5,1921425583,146
20191022,20190923,2019-09-23,39,1,1140173450,208
20191022,20190830,2019-08-30,35,5,1781808143,1470
20191022,20190927,2019-09-27,39,5,1781807945,1251
20191022,20191002,2019-10-02,40,3,1001001962555,500
20191022,20190903,2019-09-03,36,2,1693921771,500
20191022,20190926,2019-09-26,39,4,3201287628,498
20191022,20190828,2019-08-28,35,3,3357604587,743
20191022,20190822,2019-08-22,34,4,1781808143,1384
20191022,20190903,2019-09-03,36,2,1833528556,101
20191022,20190907,2019-09-07,36,6,1655241805,500
20191022,20190919,2019-09-19,38,4,3021573833,1278
20191022,20191006,2019-10-06,40,7,1921431481,412
20191022,20191019,2019-10-19,42,6,1001000286087,340
20191022,20190921,2019-09-21,38,6,3428867428,340
