f_date,cnt_stat_date,s_cnt_stat_date,cnt_stat_week_of_year,cnt_stat_week_day,union_chann_id,cnt
20191030,20191029,2019-10-29,44,2,102,15747
20191030,20190930,2019-09-30,40,1,125,29532
20191030,20191005,2019-10-05,40,6,107,10397
20191030,20191005,2019-10-05,40,6,125,15942
20191030,20190924,2019-09-24,39,2,107,11393
20191030,20191030,2019-10-30,44,3,118,44770
20191030,20190926,2019-09-26,39,4,101,52245
20191030,20191028,2019-10-28,44,1,107,10467
20191030,20191015,2019-10-15,42,2,121,139205
20191030,20191014,2019-10-14,42,1,108,36484
20191030,20190917,2019-09-17,38,2,130,27200
20191030,20191031,2019-10-31,44,4,121,51
20191030,20191019,2019-10-19,42,6,107,10506
20191030,20190905,2019-09-05,36,4,125,31262
20191030,20190915,2019-09-15,37,7,121,112262
20191030,20190913,2019-09-13,37,5,101,44660
20191030,20191023,2019-10-23,43,3,130,25475
20191030,20191030,2019-10-30,44,3,130,21866
20191030,20191013,2019-10-13,41,7,125,18189
20191030,20190930,2019-09-30,40,1,102,19575
20191030,20190929,2019-09-29,39,7,132,96128
20191030,20191024,2019-10-24,43,4,101,36934
20191030,20190905,2019-09-05,36,4,108,36510
20191030,20191006,2019-10-06,40,7,132,92720
20191030,20191010,2019-10-10,41,4,132,96221
20191030,20191019,2019-10-19,42,6,132,93386
20191030,20191011,2019-10-11,41,5,101,50020
20191030,20191025,2019-10-25,43,5,108,19790
20191030,20190928,2019-09-28,39,6,118,46985
20191030,20190917,2019-09-17,38,2,107,12178
20191030,20190913,2019-09-13,37,5,118,47589
20191030,20191002,2019-10-02,40,3,101,50469
20191030,20191002,2019-10-02,40,3,125,16280
20191030,20190905,2019-09-05,36,4,132,106334
20191030,20190921,2019-09-21,38,6,130,19661
20191030,20190913,2019-09-13,37,5,102,16384
20191030,20191023,2019-10-23,43,3,102,17683
20191030,20191025,2019-10-25,43,5,118,51297
20191030,20191008,2019-10-08,41,2,107,11140
20191030,20191028,2019-10-28,44,1,130,23779
20191030,20191017,2019-10-17,42,4,108,39966
20191030,20190909,2019-09-09,37,1,108,49593
20191030,20190921,2019-09-21,38,6,132,84373
20191030,20191005,2019-10-05,40,6,101,47954
20191030,20191012,2019-10-12,41,6,130,22602
20191030,20190905,2019-09-05,36,4,101,52767
20191030,20190922,2019-09-22,38,7,127,47728
20191030,20190907,2019-09-07,36,6,102,19409
20191030,20191015,2019-10-15,42,2,107,10621
20191030,20191022,2019-10-22,43,2,118,45919
20191030,20190926,2019-09-26,39,4,125,31043
20191030,20190911,2019-09-11,37,3,125,30397
20191030,20190920,2019-09-20,38,5,108,35828
20191030,20191001,2019-10-01,40,2,132,87153
20191030,20191005,2019-10-05,40,6,130,16929
20191030,20190920,2019-09-20,38,5,101,41031
20191030,20191017,2019-10-17,42,4,107,10773
20191030,20190908,2019-09-08,36,7,121,115663
20191030,20190928,2019-09-28,39,6,101,49627
20191030,20191028,2019-10-28,44,1,101,40445
20191030,20190910,2019-09-10,37,2,125,29111
20191030,20190916,2019-09-16,38,1,121,139870
20191030,20190911,2019-09-11,37,3,118,53923
20191030,20191018,2019-10-18,42,5,101,50835
20191030,20191001,2019-10-01,40,2,102,17302
20191030,20191019,2019-10-19,42,6,127,27678
20191030,20190927,2019-09-27,39,5,125,33097
20191030,20190910,2019-09-10,37,2,118,50873
20191030,20191030,2019-10-30,44,3,101,35085
20191030,20191013,2019-10-13,41,7,121,111134
20191030,20191014,2019-10-14,42,1,118,47347
20191030,20190920,2019-09-20,38,5,130,20185
20191030,20190907,2019-09-07,36,6,118,47965
20191030,20191001,2019-10-01,40,2,127,38784
20191030,20190930,2019-09-30,40,1,130,23655
20191030,20191007,2019-10-07,41,1,125,18353
20191030,20191005,2019-10-05,40,6,121,106762
20191030,20190908,2019-09-08,36,7,107,10988
20191030,20190915,2019-09-15,37,7,101,43654
20191030,20191007,2019-10-07,41,1,102,17753
20191030,20190908,2019-09-08,36,7,102,18986
20191030,20190911,2019-09-11,37,3,102,19485
20191030,20191001,2019-10-01,40,2,101,48815
20191030,20190913,2019-09-13,37,5,121,104926
20191030,20191020,2019-10-20,42,7,107,10537
20191030,20190919,2019-09-19,38,4,130,23534
20191030,20190925,2019-09-25,39,3,108,40982
20191030,20191027,2019-10-27,43,7,125,15479
20191030,20191022,2019-10-22,43,2,125,28136
20191030,20190920,2019-09-20,38,5,127,25696
